yes,4112
yeah,2039
no,1803
sure,285
yup,215
yes i do,180
i don't know,118
kind of,100
sometimes,98
not really,88
i agree,76
i guess,56
nope,45
i do,42
yes i agree,41
yes yes,41
yes you are,40
absolutely,38
maybe,36
oh yeah,36
no no,36
definitely,35
okay,32
what,32
no not really,31
right,30
yeah i do,28
yeah sure,27
yeah you're right,27
uh-huh,27
oh yes,26
totally,26
yes you're right,23
yeah yeah,22
of course,22
you're right,21
yeah i agree,21
repeat,17
yeah kind of,17
yes you are right,17
i guess so,16
you are right,15
yeah i guess,15
no yes,14
i disagree,13
exactly,13
yes we can,13
sort of,13
no i don't,13
yeah yes,12
