phrase,category,wiki entity,good for wiki
star wars,movies and shows,Star Wars,True
harry potter,books,Harry Potter,True
twitter,companies,Twitter,True
youtube,companies,YouTube (channel),True
monsta x,kpop,Monsta X,True
gaming,gaming,Video game,False
bts,kpop,BTS (band),True
being sick,being,,False
sleep,sleep,Sleep,False
valentines day,dates,Valentine's Day,True
golf,activities,Golf,True
sidharth shukla,indian actors,Sidharth Shukla,True
subtitles,,Subtitles,False
musicals,music,Musical theatre,False
xiaomi,companies,Xiaomi,True
winter,seasons,Winter,False
cats,animal,Cat,True
sleeping,sleep,Sleep,False
february,dates,February,False
verivery,kpop,Verivery,True
jihyo,kpop,Jihyo,True
social media,companies,Social media,False
people,,,False
animal crossing,gaming,Animal Crossing,True
being alone,being,,False
unicorns,animal,Unicorn,True
seulgi,kpop,Kang Seul-gi,True
getting mad,emotional,,False
sundays,dates,Sunday,False
to sing,music,,False
being single,being,,False
college,education,College,False
to sleep,sleep,Sleep,False
mondays,dates,Monday,False
weekends,dates,Workweek and weekend,False
outlander,movies and shows,Outlander (TV series),True
avocados,food,Avocado,True
sana,jpop,Sana Fakhar,True
crying,emotional,Crying,False
kpop,kpop,K-pop,False
football,sports,Football,False
school,education,School,False
kamen rider,anime,Kamen Rider,True
fridays,dates,Friday,False
reading,sedentary,Reading,False
summer,seasons,Summer,False
teaching,education,Education,False
being an adult,being,,False
cooking,lifestyle,Cooking,False
nct,kpop,NCT (group),True
basketball,sports,Basketball,False
wednesdays,dates,,False
dogs,animal,Dog,True
texting,sedentary,Text messaging,False
tiktok,companies,TikTok,True
hobi,kpop,,False
staying up late,sleep,,False
facebook,companies,Facebook,False
getting sick,emotional,,False
coffee,food,Coffee,True
kids,,Youth,False
instagram,companies,Instagram,True
eliza pancakes,,,False
valentines,dates,Valentine's Day,True
jikook,kpop,,False
waking up,sleep,Sleep,False
sam and colby,,,False
driving,activities,Driving,False
sports,sports,Sport,False
working from home,sedentary,Telecommuting,False
saturdays,dates,Saturday,False
taehyung,kpop,,False
tuesdays,dates,,False
sidharth,indian actors,,False
monstax,kpop,Monsta X,True
maritzburg united,soccer,Maritzburg United F.C.,True
makeup,,Cosmetics,False
flying,sedentary,Flight,False
education,education,Education,False
waking up early,sleep,Sleep,False
writing,sedentary,Writing,False
animals,,Animal,False
work,sedentary,Wage labour,False
bananas,food,Banana,True
being home,being,,False
libraries,education,Library,True
going to work,sedentary,,False
science,education,Science,False
math,education,Mathematics,True
monday,dates,Monday,False
snow,weather,Snow,True
being sad,being,,False
being lied to,being,,False
games,gaming,Video game,False
taking naps,sleep,Sleep,False
tik tok,companies,TikTok,True
kastking spinning reels,,,False
being home alone,being,,False
kava,,Kava,True
anime,anime,Anime,False
online shopping,sedentary,Online shopping,False
traveling,activities,,False
eating,food,Eating,False
sidnaaz,,,False
jungkook,kpop,Jungkook,True
dubbing,,Dubbing (filmmaking),True
travel,activities,Travel,False
south park,movies and shows,South Park,True
birthdays,dates,Birthday,False
baseball,sports,Baseball,True
rian johnson,,Rian Johnson,True
horror movies,movies and shows,Horror film,True
